 ,Area,Mean,Min,Max
1,0.005,255,255,255
2,0.005,255,255,255
3,0.008,255,255,255
4,0.085,255,255,255
5,0.071,255,255,255
6,0.1,255,255,255
7,0.006,255,255,255
8,0.096,255,255,255
9,0.091,255,255,255
10,0.012,255,255,255
11,0.109,255,255,255
12,0.078,255,255,255
13,0.01,255,255,255
14,0.141,255,255,255
15,0.115,255,255,255
16,0.005,255,255,255
17,0.124,255,255,255
18,0.08,255,255,255
19,0.098,255,255,255
20,0.095,255,255,255
21,0.135,255,255,255
22,0.008,255,255,255
23,0.091,255,255,255
24,0.012,255,255,255
25,0.084,255,255,255
26,0.008,255,255,255
27,0.133,255,255,255
28,0.118,255,255,255
29,0.095,255,255,255
30,0.111,255,255,255
31,0.005,255,255,255
32,0.005,255,255,255
33,0.117,255,255,255
34,0.006,255,255,255
35,0.06,255,255,255
36,0.078,255,255,255
37,0.1,255,255,255
38,0.01,255,255,255
39,0.135,255,255,255
40,0.008,255,255,255
41,0.008,255,255,255
42,0.025,255,255,255
43,0.016,255,255,255
44,0.028,255,255,255
45,0.027,255,255,255
46,0.008,255,255,255
47,0.093,255,255,255
48,0.032,255,255,255
49,0.005,255,255,255
50,0.005,255,255,255
51,0.098,255,255,255
52,0.016,255,255,255
53,0.14,255,255,255
54,0.117,255,255,255
55,0.005,255,255,255
56,0.118,255,255,255
57,0.012,255,255,255
58,0.087,255,255,255
59,0.016,255,255,255
60,0.208,255,255,255
61,0.019,255,255,255
62,0.01,255,255,255
63,0.055,255,255,255
64,0.005,255,255,255
65,0.005,255,255,255
66,0.142,255,255,255
67,0.021,255,255,255
68,0.01,255,255,255
69,0.01,255,255,255
70,0.102,255,255,255
71,0.01,255,255,255
72,0.01,255,255,255
73,0.008,255,255,255
74,0.012,255,255,255
75,0.017,255,255,255
76,0.006,255,255,255
77,0.034,255,255,255
78,0.034,255,255,255
79,0.129,255,255,255
80,0.019,255,255,255
81,0.021,255,255,255
82,0.051,255,255,255
83,0.03,255,255,255
84,0.005,255,255,255
85,0.01,255,255,255
86,0.01,255,255,255
87,0.005,255,255,255
88,0.045,255,255,255
89,0.03,255,255,255
90,0.17,255,255,255
91,0.006,255,255,255
92,0.106,255,255,255
93,0.025,255,255,255
94,0.106,255,255,255
95,0.118,255,255,255
96,0.012,255,255,255
97,0.012,255,255,255
98,0.016,255,255,255
99,0.025,255,255,255
100,0.008,255,255,255
101,0.014,255,255,255
102,0.005,255,255,255
103,0.028,255,255,255
104,0.135,255,255,255
105,0.082,255,255,255
106,0.155,255,255,255
107,0.005,255,255,255
108,0.091,255,255,255
109,0.012,255,255,255
110,0.113,255,255,255
111,0.102,255,255,255
112,0.117,255,255,255
113,0.021,255,255,255
114,0.012,255,255,255
115,0.005,255,255,255
116,0.08,255,255,255
117,0.087,255,255,255
118,0.014,255,255,255
119,0.005,255,255,255
120,0.005,255,255,255
121,0.089,255,255,255
122,0.096,255,255,255
123,0.049,255,255,255
124,0.005,255,255,255
125,0.011,255,255,255
126,0.142,255,255,255
127,0.005,255,255,255
128,0.104,255,255,255
129,0.113,255,255,255
130,0.005,255,255,255
131,0.111,255,255,255
132,0.005,255,255,255
133,0.019,255,255,255
134,0.006,255,255,255
135,0.016,255,255,255
136,0.006,255,255,255
137,0.109,255,255,255
138,0.117,255,255,255
139,0.135,255,255,255
140,0.005,255,255,255
141,0.005,255,255,255
142,0.117,255,255,255
143,0.006,255,255,255
144,0.006,255,255,255
145,0.005,255,255,255
146,0.006,255,255,255
147,0.008,255,255,255
148,0.005,255,255,255
149,0.005,255,255,255
150,0.008,255,255,255
151,0.006,255,255,255
152,0.012,255,255,255
153,0.005,255,255,255
154,0.005,255,255,255
155,0.005,255,255,255
156,0.095,255,255,255
