 ,Area,Mean,Min,Max
1,0.777,236.773,120,255
2,0.496,239.789,131,255
3,1.053,239.403,125,255
4,1.02,239.384,123,255
5,0.899,240.055,125,255
6,1.257,241.605,122,255
7,0.673,235.082,126,255
8,1.439,240.352,121,255
9,1.5,240.574,128,255
10,0.667,238.38,141,255
11,1.638,239.963,122,255
12,0.86,237.923,121,255
13,0.97,241.119,120,255
14,1.759,240.545,119,255
15,0.91,239.552,119,255
16,0.733,236.526,126,255
17,1.886,245.231,128,255
18,1.483,243.264,119,255
19,0.871,241.285,124,255
20,1.329,245.017,125,255
21,1.439,243.33,124,255
22,0.392,229.704,128,255
23,0.629,235.921,128,255
24,1.847,244.412,124,255
25,1.136,239.825,125,255
26,0.871,237.747,128,255
27,2.013,242.449,124,255
28,0.987,245.827,124,255
29,1.489,240.489,124,255
30,1.588,242.201,125,255
31,0.811,240.483,128,255
32,0.176,209.188,124,255
33,2.024,241.025,125,255
34,1.075,245.713,128,255
35,0.121,212,139,255
36,0.287,223.904,128,255
37,1.792,244.677,123,255
38,0.105,212.421,132,255
39,0.226,221.683,133,255
40,2.878,246.105,126,255
41,1.224,242.225,126,255
42,1.274,242.723,122,255
43,1.505,243.297,126,255
44,1.869,246.038,120,255
45,2.481,244.671,127,255
46,0.678,236.447,128,255
47,0.849,240.851,128,255
48,1.401,244.228,119,255
49,1.478,241.683,119,255
50,1.059,241.422,119,255
51,0.607,241.473,128,255
52,0.849,242.338,128,255
53,1.015,242.81,127,255
54,0.254,229.065,119,255
55,0.816,241.851,119,255
56,2.09,247.544,135,255
57,1.191,237.866,126,255
58,1.252,245.811,121,255
59,1.379,241.712,128,255
60,1.307,244.122,125,255
61,1.318,241.222,125,255
62,1.847,245.042,124,255
63,1.478,242.463,126,255
64,1.015,240.516,120,255
