 ,Area,Mean,Min,Max
1,0.043,204.475,187,228
2,0.434,245.837,187,255
3,0.033,223.806,188,247
4,0.016,201.067,185,215
5,0.422,243.975,186,255
6,0.016,207.933,185,227
7,0.018,202.118,187,219
8,0.017,200.375,185,210
9,0.004,188.250,187,190
10,0.011,193.800,185,210
11,0.026,210.667,185,237
12,0.059,232.873,199,254
13,0.004,209.750,199,218
14,0.022,200.190,187,221
15,8.963,251.605,185,255
16,0.037,211.800,185,241
17,0.021,209.750,193,219
18,0.059,209.691,185,252
19,0.053,230.040,187,254
20,0.041,209.947,186,239
21,0.006,189.833,186,197
22,0.042,223.923,188,254
23,0.027,209.280,185,229
24,0.007,186.857,185,190
25,0.004,189.750,188,191
26,0.001,190.000,190,190
27,14.432,252.006,185,255
28,0.609,242.602,185,255
29,0.001,190.000,190,190
30,0.001,185.000,185,185
31,0.005,190.200,185,196
32,0.002,188.500,188,189
33,0.009,199.375,187,209
34,0.046,223.419,187,251
35,0.019,197.056,185,208
36,0.042,215.692,185,243
37,0.428,226.155,185,254
38,0.005,195.600,185,200
39,0.010,199.000,190,204
40,0.046,227.186,187,254
41,0.037,204.286,185,235
42,0.044,208.829,187,233
43,0.009,194.375,185,201
44,0.006,193.333,185,202
45,15.398,252.399,185,255
46,0.016,195.933,185,212
47,0.011,201.700,188,222
48,0.089,212.759,185,255
49,16.596,251.072,185,255
50,10.042,250.549,185,255
51,0.001,189.000,189,189
52,0.077,230.639,189,255
53,0.082,222.636,191,249
54,0.119,225.532,188,254
55,0.004,195.500,186,203
56,0.027,202.800,187,213
57,0.073,214.353,185,252
58,0.062,225.672,185,254
59,10.687,250.601,185,255
60,0.018,201.471,185,223
61,0.010,200.556,189,213
62,0.058,219.815,186,250
63,0.017,217.500,191,250
64,0.001,200.000,200,200
65,0.003,187.667,185,189
66,9.850,250.768,185,255
67,0.032,219.533,186,255
68,0.001,185.000,185,185
69,12.632,250.880,185,255
70,0.048,223.044,191,241
71,0.013,197.917,185,216
72,0.049,220.500,186,251
73,0.001,196.000,196,196
74,0.003,188.667,185,191
75,0.096,210.911,185,250
76,0.082,213.286,185,244
77,0.142,230.835,186,255
78,0.031,208.483,185,241
79,0.032,196.967,185,221
80,10.880,249.913,185,255
81,0.029,219.444,190,241
82,0.022,203.476,189,228
83,0.046,209.302,185,240
84,0.290,237.735,185,255
85,0.003,191.000,188,196
86,11.221,249.431,185,255
87,0.037,208.943,186,246
88,8.963,251.605,185,255
89,14.432,252.006,185,255
90,15.398,252.399,185,255
91,16.596,251.072,185,255
92,10.042,250.549,185,255
93,10.687,250.601,185,255
94,9.850,250.768,185,255
95,12.632,250.880,185,255
96,10.880,249.913,185,255
97,11.221,249.431,185,255
